
======================================================================
EXECUTION SLIP — 2026-07-07
======================================================================

=== REAL-MONEY BETS (1) ===
  NYY@TB | ML_Away | ML_Away
    Ticker:    KXMLBGAME-26JUL071840NYYTB-NYY
    Model%:    51.8% | Exec Price: 45.45¢ | Raw Edge: +6.35% | Cal Edge: +1.62%
    Tier:      MEDIUM | Stake: $3.0
    MaxBet:    45.45¢ or better
    Codes:     MARKET_REAL_MONEY_ELIGIBLE, EXECUTABLE_EDGE_ABOVE_THRESHOLD, RAW_EDGE_STRONG, LINEUP_CONFIRMED_OFFICIAL, LINEUP_ADJ_APPLIED
    Snapshot:  unknown


=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (76) ===
  LAA@TEX | F5_ML_Away | Raw Edge: — | edge 0.137% below threshold
  LAA@TEX | F5_ML_Home | Raw Edge: — | edge -0.137% below threshold
  LAA@TEX | TT_Away_Over | Raw Edge: -14.42% | edge -3.678% below 1.0% floor
  LAA@TEX | TT_Home_Over | Raw Edge: -15.76% | edge -4.018% below 1.0% floor
  LAA@TEX | ML_Away | Raw Edge: -0.49% | edge -0.124% below 1.0% floor
  LAA@TEX | ML_Home | Raw Edge: +0.49% | edge 0.124% below 1.0% floor
  AZ@SD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=9 >= 8.0
  AZ@SD | F5_ML_Away | Raw Edge: — | Rule71-F5: model 83.2% vs KalshiF5VF 47.9% = 35.3% > 12%
  AZ@SD | F5_ML_Home | Raw Edge: — | Rule71-F5: model 16.8% vs KalshiF5VF 52.1% = 35.3% > 12%
  AZ@SD | TT_Away_Over | Raw Edge: -10.55% | edge -2.691% below 1.0% floor
  AZ@SD | TT_Home_Over | Raw Edge: -14.13% | edge -3.602% below 1.0% floor
  AZ@SD | ML_Home | Raw Edge: -4.58% | edge -1.167% below 1.0% floor
  TOR@SF | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=8 >= 8.0
  TOR@SF | TT_Home_Over | Raw Edge: -19.30% | edge -4.922% below 1.0% floor
  COL@LAD | NRFI | Raw Edge: — | Rule 34: NRFI blocked — Kalshi total line=10 >= 8.0
  COL@LAD | TT_Away_Over | Raw Edge: -9.94% | edge -2.534% below 1.0% floor

======================================================================
SLIP SUMMARY: Real=1 PriceMoved=0 Paper=76 Rejected=95
LIVE_GAME_BLOCKED: MIL@STL — pregame-only gate applied, 0 real-money bets from these games
======================================================================
======================================================================
